topic_number,topic_name
0,Payment
1,Misc
2,Scheduling
3,Recurring Problems
4,Scheduling
5,Internet Speed
6,Pricing
7,Neigbourhood
8,TV and Commercials
9,Legal Issues
10,Gadgets
11,Replacing Defective Components
12,Misc
13,Misc
14,Termination
15,Modems
16,Discounts and Promotions
17,Rip Off Accusations
18,Internet Service Billing
19,Misc
20,Movies
21,Visa and Gift Cards
22,Discounts and Promotions
23,Internet Data Usage
24,Hidden Fees
25,Security and Alarming
26,Rebating/Previous Owner Problems
27,Wi-Fi
